isbn_10,orig_title,orig_publication_yr,language_code
439023483,The Hunger Games,2008,eng
439554934,Harry Potter and the Philosopher's Stone,1997,eng
316015849,Twilight,2005,eng
61120081,To Kill a Mockingbird,1960,eng
743273567,The Great Gatsby,1925,eng
525478817,The Fault in Our Stars,2012,eng
618260307,The Hobbit or There and Back Again,1937,eng
316769177,The Catcher in the Rye,1951,eng
1416524797,Angels & Demons ,2000,eng
679783261,Pride and Prejudice,1813,eng
1594480001,The Kite Runner ,2003,eng
62024035,Divergent,2011,eng
553296981,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,1947,eng
307269752,Män som hatar kvinnor,2005,eng
439023491,Catching Fire,2009,eng
043965548X,Harry Potter and the Prisoner of Azkaban,1999,eng
439023513,Mockingjay,2010,eng
439358078,Harry Potter and the Order of the Phoenix,2003,eng
316166685,The Lovely Bones,2002,eng
439064864,Harry Potter and the Chamber of Secrets,1998,eng
439139600,Harry Potter and the Goblet of Fire,2000,eng
545010225,Harry Potter and the Deathly Hallows,2007,eng
307277674,The Da Vinci Code,2003,eng
439785960,Harry Potter and the Half-Blood Prince,2005,eng
140283331,Lord of the Flies ,1954,eng
743477111,An Excellent conceited Tragedie of Romeo and Juliet,1595,eng
297859382,Gone Girl,2012,eng
399155341,The Help,2009,eng
142000671,Of Mice and Men ,1937,eng
739326228,Memoirs of a Geisha,1997,eng
1612130291,Fifty Shades of Grey,2011,eng
385732554,The Giver,1993,eng
60764899,"The Lion, the Witch and the Wardrobe",1950,eng
965818675,The Time Traveler's Wife,2003,eng
553588486,A Game of Thrones,1996,eng
143038419,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",2006,eng
786838655,The Lightning Thief,2005,eng
451529308,Little Women,1868,eng
142437204,Jane Eyre,1847,eng
770430074,Life of Pi,2001,eng
1565125606,Water for Elephants,2006,eng
375831002,The Book Thief,2005,eng
316160199,"New Moon (Twilight, #2)",2006,eng
60513039,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,1974,eng
1416914285,City of Bones,2007,eng
