isbn_13,isbn_10,orig_title,orig_publication_yr,language_code
9.78044E+12,439023483,The Hunger Games,2008,eng
9.78044E+12,439554934,Harry Potter and the Philosopher's Stone,1997,eng
9.78032E+12,316015849,Twilight,2005,eng
9.78006E+12,61120081,To Kill a Mockingbird,1960,eng
9.78074E+12,743273567,The Great Gatsby,1925,eng
9.78053E+12,525478817,The Fault in Our Stars,2012,eng
9.78062E+12,618260307,The Hobbit or There and Back Again,1937,eng
9.78032E+12,316769177,The Catcher in the Rye,1951,eng
9.78142E+12,1416524797,Angels & Demons ,2000,eng
9.78068E+12,679783261,Pride and Prejudice,1813,eng
9.78159E+12,1594480001,The Kite Runner ,2003,eng
9.78006E+12,62024035,Divergent,2011,eng
9.78055E+12,553296981,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,1947,eng
9.78031E+12,307269752,Män som hatar kvinnor,2005,eng
9.78044E+12,439023491,Catching Fire,2009,eng
9.78044E+12,043965548X,Harry Potter and the Prisoner of Azkaban,1999,eng
9.78044E+12,439023513,Mockingjay,2010,eng
9.78044E+12,439358078,Harry Potter and the Order of the Phoenix,2003,eng
9.78032E+12,316166685,The Lovely Bones,2002,eng
9.78044E+12,439064864,Harry Potter and the Chamber of Secrets,1998,eng
9.78044E+12,439139600,Harry Potter and the Goblet of Fire,2000,eng
9.78055E+12,545010225,Harry Potter and the Deathly Hallows,2007,eng
9.78031E+12,307277674,The Da Vinci Code,2003,eng
9.78044E+12,439785960,Harry Potter and the Half-Blood Prince,2005,eng
9.78014E+12,140283331,Lord of the Flies ,1954,eng
9.78074E+12,743477111,An Excellent conceited Tragedie of Romeo and Juliet,1595,eng
9.7803E+12,297859382,Gone Girl,2012,eng
9.7804E+12,399155341,The Help,2009,eng
9.78014E+12,142000671,Of Mice and Men ,1937,eng
9.78074E+12,739326228,Memoirs of a Geisha,1997,eng
9.78161E+12,1612130291,Fifty Shades of Grey,2011,eng
9.78039E+12,385732554,The Giver,1993,eng
9.78006E+12,60764899,"The Lion, the Witch and the Wardrobe",1950,eng
9.78097E+12,965818675,The Time Traveler's Wife,2003,eng
9.78055E+12,553588486,A Game of Thrones,1996,eng
9.78014E+12,143038419,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",2006,eng
9.78079E+12,786838655,The Lightning Thief,2005,eng
9.78045E+12,451529308,Little Women,1868,eng
9.78014E+12,142437204,Jane Eyre,1847,eng
9.78077E+12,770430074,Life of Pi,2001,eng
9.78157E+12,1565125606,Water for Elephants,2006,eng
9.78038E+12,375831002,The Book Thief,2005,eng
9.78032E+12,316160199,"New Moon (Twilight, #2)",2006,eng
9.78006E+12,60513039,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,1974,eng
9.78142E+12,1416914285,City of Bones,2007,eng
9.78032E+12,316160202,Eclipse,2007,eng
9.78038E+12,375826696,Eragon,2002,eng
9.78035E+12,345391802,The Hitchhiker's Guide to the Galaxy,1979,eng
9.78006E+12,60929871,Brave New World,1932,eng
9.78032E+12,031606792X,Breaking Dawn,2008,eng
9.78014E+12,142001740,The Secret Life of Bees,2001,eng
9.78014E+12,142437174,The Adventures of Huckleberry Finn,1884,eng
9.78006E+12,64410935,Charlotte's Web,1952,eng
9.7814E+12,1400032717,The Curious Incident of the Dog in the Night-Time,2003,eng
9.78159E+12,1594633665,The Girl on the Train,2015,eng
9.78068E+12,679879242,Northern Lights,1995,eng
9.78039E+12,393978893,Wuthering Heights,1847,eng
9.78074E+12,743454537,My Sister's Keeper,2004,eng
9.78039E+12,385333846,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",1969,eng
9.78045E+12,446675539,Gone with the Wind,1936,eng
9.78159E+12,1594489505,A Thousand Splendid Suns,2007,eng
9.78067E+12,671027344,The Perks of Being a Wallflower,1999,eng
9.78001E+12,7442912,Insurgent,2012,eng
9.78081E+12,812550706,Ender's Game,1985,eng
9.78045E+12,450040186,The Shining,1977,eng
9.78032E+12,316068047,The Host,2008,eng
9.78014E+12,142402516,Looking for Alaska,2005,eng
9.78014E+12,014028009X,,1996,eng
9.78014E+12,141439661,Sense and Sensibility,1811,eng
9.78044E+12,439244196,Holes,1998,eng
9.78031E+12,307275558,The Devil Wears Prada,2003,eng
9.78014E+12,143039954,The Odyssey,-720,eng
9.78016E+12,156012197,Le Petit Prince,1946,eng
9.78074E+12,074324754X,The Glass Castle,2005,eng
9.78039E+12,385486804,Into the Wild,1996,eng
9.78014E+12,141439602,A Tale of Two Cities,1859,eng
9.78006E+12,60256656,The Giving Tree,1964,eng
9.78039E+12,385338600,A Time to Kill,1989,eng
9.78037E+12,374500010,Un di Velt Hot Geshvign,1958,eng
9.78014E+12,014241493X,Paper Towns,2008,eng
9.78035E+12,345418263,The Princess Bride,1973,eng
9.78014E+12,014038572X,The Outsiders,1967,eng
9.78039E+12,385737947,The Maze Runner,2009,eng
9.78006E+12,61234001,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,2005,eng
9.78052E+12,517189607,The Secret Garden,1911,eng
9.78006E+12,60531045,Cien años de soledad,1967,eng
9.78038E+12,375751513,The Picture of Dorian Gray,1891,eng
9.78035E+12,345803507,Fifty Shades Freed,2012,eng
9.78039E+12,393970124,Dracula,1897,eng
9.78031E+12,307269981,Flickan som lekte med elden,2006,eng
9.78161E+12,1612130585,Fifty Shades Darker,2011,eng
9.78006E+12,60786507,The Poisonwood Bible,1998,eng
9.78035E+12,349113912,Me Talk Pretty One Day,2000,eng
9.7801E+12,99408392,Where the Wild Things Are,1963,eng
9.78014E+12,140449264,Le Comte de Monte-Cristo,1844,eng
9.78031E+12,307265439,The Road,2006,eng
9.78001E+12,7524277,Allegiant,2013,eng
,,Bossypants,2011,eng
9.78044E+12,440241413,Confessions of a Shopaholic,2000,eng
9.78045E+12,451525264,Les Misérables,1862,eng
9.78055E+12,553381695,A Clash of Kings,1998,eng
9.78014E+12,143037145,The Memory Keeper's Daughter,2005,eng
9.78068E+12,684833395,Catch-22,1961,eng
9.78075E+12,751529818,Tuesdays with Morrie,1997,eng
9.78031E+12,312422156,Middlesex,2002,eng
9.78014E+12,143039563,The Adventures of Tom Sawyer,1876,eng
9.78014E+12,143038095,The Joy Luck Club,1989,eng
9.78039E+12,038549081X,The Handmaid's Tale,1985,eng
9.78039E+12,385729332,The Sisterhood of the Traveling Pants,2001,eng
,,Lolita,1955,eng
9.78006E+12,60987103,Wicked: The Life and Times of the Wicked Witch of the West,1995,eng
9.78058E+12,582418275,The Firm,1991,eng
9.78052E+12,521618746,"The Tragicall Historie of Hamlet, Prince of Denmark",1600,eng
9.78032E+12,316346624,The Tipping Point: How Little Things Can Make a Big Difference,2000,eng
9.78145E+12,1451648537,Steve Jobs,2011,eng
9.78045E+12,451163966,One Flew Over the Cuckoo's Nest,1962,eng
9.78068E+12,684830493,The Old Man and the Sea,1952,eng
9.78014E+12,142000663,The Grapes of Wrath,1939,eng
