isbn_13,genre
9780439023480,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
9780439554930,"['fantasy', 'fiction', 'young-adult', 'classics']"
9780316015840,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
9780061120080,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
9780743273560,"['classics', 'fiction', 'historical-fiction', 'romance']"
9780525478810,"['young-adult', 'romance', 'fiction', 'contemporary']"
9780618260300,"['fantasy', 'classics', 'fiction', 'young-adult']"
9780316769170,"['classics', 'fiction', 'young-adult']"
9781416524790,"['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']"
9780679783270,"['classics', 'fiction', 'romance', 'historical-fiction']"
9781594480000,"['fiction', 'historical-fiction', 'contemporary', 'classics']"
9780062024040,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
9780553296980,"['nonfiction', 'classics', 'history', 'biography', 'memoir']"
9780307269750,"['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']"
9780439023500,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
9780439655480,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780439023510,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
9780439358070,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780316166680,"['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']"
9780439064870,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780439139600,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780545010220,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780307277670,"['fiction', 'mystery', 'thriller', 'suspense', 'historical-fiction', 'crime']"
9780439785970,"['fantasy', 'young-adult', 'fiction', 'classics']"
9780140283330,"['classics', 'fiction', 'young-adult']"
9780743477120,"['classics', 'fiction', 'romance', 'poetry']"
9780297859380,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
9780399155340,"['fiction', 'historical-fiction', 'contemporary', 'classics', 'chick-lit']"
9780142000670,"['classics', 'fiction', 'historical-fiction']"
9780739326220,"['fiction', 'historical-fiction', 'romance', 'classics']"
9781612130290,"['romance', 'fiction', 'contemporary', 'chick-lit']"
9780385732550,"['young-adult', 'fiction', 'classics', 'science-fiction', 'fantasy']"
9780060764890,"['fantasy', 'classics', 'fiction', 'young-adult', 'christian']"
9780965818670,"['fiction', 'romance', 'fantasy', 'science-fiction', 'contemporary', 'chick-lit']"
9780553588480,"['fantasy', 'fiction']"
9780143038410,"['nonfiction', 'memoir', 'travel', 'biography', 'chick-lit', 'romance', 'spirituality', 'contemporary']"
