isbn_13,author
9780439023480,['Suzanne Collins']
9780439554930,"['J.K. Rowling', 'Mary GrandPré']"
9780316015840,['Stephenie Meyer']
9780061120080,['Harper Lee']
9780743273560,['F. Scott Fitzgerald']
9780525478810,['John Green']
9780618260300,['J.R.R. Tolkien']
9780316769170,['J.D. Salinger']
9781416524790,['Dan Brown']
9780679783270,['Jane Austen']
9781594480000,['Khaled Hosseini']
9780062024040,['Veronica Roth']
9780553296980,"['Anne Frank', 'Eleanor Roosevelt', 'B.M. Mooyaart-Doubleday']"
9780307269750,"['Stieg Larsson', 'Reg Keeland']"
9780439023500,['Suzanne Collins']
9780439655480,"['J.K. Rowling', 'Mary GrandPré', 'Rufus Beck']"
9780439023510,['Suzanne Collins']
9780439358070,"['J.K. Rowling', 'Mary GrandPré']"
9780316166680,['Alice Sebold']
9780439064870,"['J.K. Rowling', 'Mary GrandPré']"
9780439139600,"['J.K. Rowling', 'Mary GrandPré']"
9780545010220,"['J.K. Rowling', 'Mary GrandPré']"
9780307277670,['Dan Brown']
9780439785970,"['J.K. Rowling', 'Mary GrandPré']"
9780140283330,['William Golding']
9780743477120,"['William Shakespeare', 'Robert           Jackson']"
9780297859380,['Gillian Flynn']
9780399155340,['Kathryn Stockett']
9780142000670,['John Steinbeck']
9780739326220,['Arthur Golden']
9781612130290,['E.L. James']
9780385732550,['Lois Lowry']
9780060764890,['C.S. Lewis']
9780965818670,['Audrey Niffenegger']
9780553588480,['George R.R. Martin']
9780143038410,['Elizabeth Gilbert']
9780786838650,['Rick Riordan']
9780451529300,['Louisa May Alcott']
9780142437210,"['Charlotte Brontë', 'Michael Mason']"
9780770430080,['Yann Martel']
9781565125600,['Sara Gruen']
9780375831000,['Markus Zusak']
9780316160190,['Stephenie Meyer']
9780060513030,['Shel Silverstein']
9781416914280,['Cassandra Clare']
9780316160210,['Stephenie Meyer']
9780375826700,['Christopher Paolini']
9780345391800,['Douglas Adams']
9780060929880,['Aldous Huxley']
9780316067930,['Stephenie Meyer']
9780142001740,['Sue Monk Kidd']
9780142437180,"['Mark Twain', 'John Seelye', 'Guy Cardwell']"
9780064410940,"['E.B. White', 'Garth Williams', 'Rosemary Wells']"
9781400032720,['Mark Haddon']
9781594633670,['Paula Hawkins']
9780679879240,['Philip Pullman']
9780393978900,"['Emily Brontë', 'Richard J. Dunn']"
9780743454540,['Jodi Picoult']
9780385333850,['Kurt Vonnegut Jr.']
9780446675540,['Margaret Mitchell']
9781594489500,['Khaled Hosseini']
9780671027350,['Stephen Chbosky']
9780007442910,['Veronica Roth']
9780812550700,['Orson Scott Card']
9780450040180,['Stephen King']
9780316068050,['Stephenie Meyer']
9780142402510,['John Green']
9780140280100,['Helen Fielding']
9780141439660,"['Jane Austen', 'Tony Tanner', 'Ros Ballaster']"
9780439244190,"['Louis Sachar', 'Louis Sachar']"
9780307275550,['Lauren Weisberger']
9780143039950,"['Homer', 'Robert Fagles', 'E.V. Rieu', 'Frédéric Mugler', 'Bernard Knox']"
9780156012200,"['Antoine de Saint-Exupéry', 'Richard Howard', 'Dom Marcos Barbosa', 'Melina Karakosta']"
9780743247540,['Jeannette Walls']
9780385486800,['Jon Krakauer']
9780141439600,"['Charles Dickens', 'Richard Maxwell', 'Hablot Knight Browne']"
9780060256650,['Shel Silverstein']
9780385338610,['John Grisham']
9780374500020,"['Elie Wiesel', 'Marion Wiesel']"
9780142414930,['John Green']
9780345418260,['William Goldman']
9780140385720,['S.E. Hinton']
9780385737940,['James Dashner']
9780061234000,"['Steven D. Levitt', 'Stephen J. Dubner']"
9780517189600,['Frances Hodgson Burnett']
9780060531040,"['Gabriel García Márquez', 'Gregory Rabassa']"
9780375751520,"['Oscar Wilde', 'Jeffrey Eugenides']"
9780345803500,['E.L. James']
9780393970130,"['Bram Stoker', 'Nina Auerbach', 'David J. Skal']"
9780307269980,"['Stieg Larsson', 'Reg Keeland']"
9781612130580,['E.L. James']
9780060786500,['Barbara Kingsolver']
9780349113910,['David Sedaris']
9780099408390,['Maurice Sendak']
9780140449270,"['Alexandre Dumas', 'Robin Buss']"
9780307265430,['Cormac McCarthy']
9780007524270,['Veronica Roth']
,['Tina Fey']
9780440241420,['Sophie Kinsella']
9780451525260,"['Victor Hugo', 'Lee Fahnestock', 'Norman MacAfee']"
9780553381700,['George R.R. Martin']
9780143037150,['Kim Edwards']
9780684833390,['Joseph Heller']
9780751529810,"['Mitch Albom', 'Saulius Dagys']"
9780312422160,['Jeffrey Eugenides']
9780143039560,"['Mark Twain', 'Guy Cardwell', 'John Seelye']"
9780143038090,['Amy Tan']
9780385490820,['Margaret Atwood']
9780385729340,['Ann Brashares']
,"['Vladimir Nabokov', 'Craig Raine']"
9780060987110,"['Gregory Maguire', 'Douglas Smith']"
9780582418270,['John Grisham']
9780521618750,"['William Shakespeare', 'Richard Andrews', 'Rex Gibson']"
9780316346630,['Malcolm Gladwell']
9781451648540,['Walter Isaacson']
9780451163970,['Ken Kesey']
9780684830490,['Ernest Hemingway']
9780142000660,['John Steinbeck']
9781401308580,['Mitch Albom']
9780451528830,['L.M. Montgomery']
9781416914300,['Cassandra Clare']
9780553573430,['George R.R. Martin']
9780060759960,['Rebecca Wells']
9780440242950,['Diana Gabaldon']
9780142437260,"['Nathaniel Hawthorne', 'Thomas E. Connolly', 'Nina Baym']"
9781594744760,['Ransom Riggs']
9780307270000,"['Stieg Larsson', 'Reg Keeland']"
9780804139020,['Andy Weir']
9780451207140,['Ken Follett']
9781476746590,['Anthony Doerr']
9781400064170,['Laura Hillenbrand']
9780671027380,['Dan Brown']
9780316055440,['Donna Tartt']
9780452287020,['Tracy Chevalier']
9780525421030,['Gayle Forman']
9780312353770,['Anita Diamant']
9780786856860,['Rick Riordan']
9780446528050,['Nicholas Sparks']
9781416914300,['Cassandra Clare']
9780743477110,['William Shakespeare']
9780618346260,['J.R.R. Tolkien']
9780312321180,['Emily Giffin']
9780394800160,"['Dr. Seuss', 'לאה נאור']"
9780142403880,"['Roald Dahl', 'Quentin Blake']"
9781423101470,['Rick Riordan']
9780192833590,['Charles Dickens']
,"['Albert Camus', 'Matthew    Ward']"
9781423113390,['Rick Riordan']
9781250012580,['Rainbow Rowell']
9780553582020,['George R.R. Martin']
9780525423640,['Ally Condie']
9780747263750,['Neil Gaiman']
9780385199580,"['Stephen King', 'Bernie Wrightson']"
9780446547570,['Nicholas Sparks']
9780552151700,['Dan Brown']
9780141439590,"['Jane Austen', 'Fiona Stafford']"
9780345803920,"['Leo Tolstoy', 'Louise Maude', 'Leo Tolstoj', 'Aylmer Maude']"
9780739380340,['Rick Riordan']
9780451169520,['Stephen King']
9780143058140,"['Fyodor Dostoyevsky', 'David McDuff']"
9780061148510,['Sylvia Plath']
9780007205230,['Frank McCourt']
9780553208850,"['Hermann Hesse', 'Hilda Rosner']"
9780679745590,['Truman Capote']
9780316042670,"['Kami Garcia', 'Margaret Stohl']"
9781416975860,['Cassandra Clare']
9780141301070,"['Roald Dahl', 'Quentin Blake']"
9780385534640,['Erin Morgenstern']
9780743227440,['Philippa Gregory']
9780689865380,['Scott Westerfeld']
,['George R.R. Martin']
9780618640160,['J.R.R. Tolkien']
9780307592740,['Cheryl Strayed']
9780930289230,"['Alan Moore', 'Dave Gibbons', 'John Higgins']"
9780756404080,['Patrick Rothfuss']
9780316017920,['Malcolm Gladwell']
9780142437250,"['Herman Melville', 'Andrew Delbanco', 'Tom Quirk']"
